lookup_type,age,lookup_value,term_rate
yos,31,48,0.005
yos,31,49,0.005
yos,31,50,0.005
yos,31,51,0.005
yos,31,52,0.005
yos,31,53,0.005
yos,31,54,0.005
yos,31,55,0.005
yos,31,56,0.005
yos,31,57,0.005
yos,31,58,0.005
yos,31,59,0.005
yos,31,60,0.005
yos,31,61,0.005
yos,31,62,0.005
yos,31,63,0.005
yos,31,64,0.005
yos,31,65,0.005
yos,31,66,0.005
yos,31,67,0.005
yos,31,68,0.005
yos,31,69,0.005
yos,31,70,0.005
yos,32,0,0.25
yos,32,1,0.155
yos,32,2,0.1225
yos,32,3,0.1025
yos,32,4,0.0875
yos,32,5,0.0825
yos,32,6,0.0775
yos,32,7,0.07
yos,32,8,0.055
yos,32,9,0.05
yos,32,10,0.0424999999999999
yos,32,11,0.035
yos,32,12,0.0325
yos,32,13,0.0325
yos,32,14,0.0225
yos,32,15,0.0225
yos,32,16,0.0225
yos,32,17,0.02
yos,32,18,0.0175
yos,32,19,0.0175
yos,32,20,0.0175
yos,32,21,0.015
yos,32,22,0.015
yos,32,23,0.0115
yos,32,24,0.0115
yos,32,25,0.01
yos,32,26,0.01
yos,32,27,0.009
yos,32,28,0.0065
yos,32,29,0.005
yos,32,30,0.005
yos,32,31,0.005
yos,32,32,0.005
yos,32,33,0.005
yos,32,34,0.005
yos,32,35,0.005
yos,32,36,0.005
yos,32,37,0.005
yos,32,38,0.005
yos,32,39,0.005
yos,32,40,0.005
yos,32,41,0.005
yos,32,42,0.005
yos,32,43,0.005
yos,32,44,0.005
yos,32,45,0.005
yos,32,46,0.005
yos,32,47,0.005
yos,32,48,0.005
yos,32,49,0.005
yos,32,50,0.005
yos,32,51,0.005
yos,32,52,0.005
yos,32,53,0.005
yos,32,54,0.005
yos,32,55,0.005
yos,32,56,0.005
yos,32,57,0.005
yos,32,58,0.005
yos,32,59,0.005
yos,32,60,0.005
yos,32,61,0.005
yos,32,62,0.005
yos,32,63,0.005
yos,32,64,0.005
yos,32,65,0.005
yos,32,66,0.005
yos,32,67,0.005
yos,32,68,0.005
yos,32,69,0.005
yos,32,70,0.005
yos,33,0,0.25
yos,33,1,0.155
yos,33,2,0.1225
yos,33,3,0.1025
yos,33,4,0.0875
yos,33,5,0.0825
yos,33,6,0.0775
yos,33,7,0.07
yos,33,8,0.055
yos,33,9,0.05
yos,33,10,0.0424999999999999
yos,33,11,0.035
yos,33,12,0.0325
yos,33,13,0.0325
yos,33,14,0.0225
yos,33,15,0.0225
yos,33,16,0.0225
yos,33,17,0.02
yos,33,18,0.0175
yos,33,19,0.0175
yos,33,20,0.0175
yos,33,21,0.015
yos,33,22,0.015
yos,33,23,0.0115
yos,33,24,0.0115
yos,33,25,0.01
yos,33,26,0.01
yos,33,27,0.009
yos,33,28,0.0065
yos,33,29,0.005
yos,33,30,0.005
yos,33,31,0.005
yos,33,32,0.005
yos,33,33,0.005
yos,33,34,0.005
yos,33,35,0.005
yos,33,36,0.005
yos,33,37,0.005
yos,33,38,0.005
yos,33,39,0.005
yos,33,40,0.005
yos,33,41,0.005
yos,33,42,0.005
yos,33,43,0.005
yos,33,44,0.005
yos,33,45,0.005
yos,33,46,0.005
yos,33,47,0.005
yos,33,48,0.005
yos,33,49,0.005
yos,33,50,0.005
yos,33,51,0.005
yos,33,52,0.005
yos,33,53,0.005
yos,33,54,0.005
yos,33,55,0.005
yos,33,56,0.005
yos,33,57,0.005
yos,33,58,0.005
yos,33,59,0.005
yos,33,60,0.005
yos,33,61,0.005
yos,33,62,0.005
yos,33,63,0.005
yos,33,64,0.005
yos,33,65,0.005
yos,33,66,0.005
yos,33,67,0.005
yos,33,68,0.005
yos,33,69,0.005
yos,33,70,0.005
yos,34,0,0.25
yos,34,1,0.155
yos,34,2,0.1225
yos,34,3,0.1025
yos,34,4,0.0875
yos,34,5,0.0825
yos,34,6,0.0775
yos,34,7,0.07
yos,34,8,0.055
yos,34,9,0.05
yos,34,10,0.0424999999999999
yos,34,11,0.035
yos,34,12,0.0325
yos,34,13,0.0325
yos,34,14,0.0225
